Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lew Sayre Schwartz,"pencils, cover pencils",None,,"Deceased
Schwartz's 2010 equity agreement for Deadshot acknowledges that all his services on Batman were WFH, regardless of whether he was employed by DC or Bob Kane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Roussos,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Paris,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace the Bat-Hound,Lego Justice League - Flashpoint,"Batman #92
""Ace the Bat-Hound!""",Jun-1955,Y,Bill Finger,writer,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sheldon Moldoff,pencils,None,,"Deceased
Per the library and Wayne Smith (Corp. Legal), please check to see if Bob Kane should also be included in credits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"James Winslow ""Win"" Mortimer",cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acid Master
(Philip Master)",Flash 516,"Action Comics #348
""Clark Kent, Fighting Federal Agent!""",Mar-1967,Y,Jim Shooter,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wayne Boring,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Klein,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acrata
(Andrea Rojas)",Supergirl Season 5,Superman Annual #12,Aug-2000,Y,Oscar Pinto,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
