Property Character Location Other,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,VALIDATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Issue,Date,,Name,Service,Agreement Type,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sandu Florea,"inks, cover inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tomeu Morey,color,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Drake
(Typhoon)",,Fury of Firestorm: The Nuclear Men #19,Jun-2013,N,Dan Jurgens,"Writer, Pencils, Cover Pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ray McCarthy,"Inks, Cover Inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Karl Kesel,Inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brian Miller,Color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Laboratories,,"Tales of the Teen Titans #48
""The Recombatants!""",Nov-1984,N,Marv Wolfman,writer,Co-writer/Co-editor; Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"writer, pencils, cover",Co-writer/Artist/Co-editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Steve Rude,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Al Gordon,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike DeCarlo,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Singh,"Flash
(2018)",Flash Secret Files and Origins #1,May-2010,,Geoff Johns,writer,Exclusive; WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Scott Kolins,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Francis J. Manapul,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael Atiyeh,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawnstar,,"Superboy #226
""The Dazzling Debut of Dawnstar""",Apr-1977,Y,Paul Levitz,writer,Exclusive,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,James Sherman,pencils,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jack Abel,inks,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Grell,cover,Exclusive,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Liz Berube,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daxam,Supergirl 204,"Adventure Comics #312
""The Super-Sacrifice of the Legionnaires""",Sep-1963,N,Edmond Hamilton,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Forte,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Klein,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dead Boy Detectives
(Edwin Paine and Charles Rowland)",,The Sandman vol 2 #25,Apr-1991,N,Neil Gaiman,writer,WFH,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Matt Wagner,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,P. Craig Russell,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daniel Vozzo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead King,,Aquaman #17,Apr-2013,N,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Paul Pelletier,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Parsons,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Art Thibert,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rodrigo Reis,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deadman
(Boston Brand)",Dark Universe,"Strange Adventures #205
""Who Has Been Lying In My Grave?""",Oct-1967,Y,Arnold Drake,writer,None,2006,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Roussos,"inks, cover inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deadshot
(Floyd Lawton)","Suicide Squad
(2016)","Batman #59
""The Man Who Replaced Batman""",Jun-1950,N,"David Levine
(David Vern Reed)",writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Kane,pencils,Services Agreements,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lew Schwartz,"pencils, cover pencils",WFH Acknowledgement,2010,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Charles Paris,"inks, cover inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Death Rattle
(Erasmus Rayne)",Gotham 416,Arkham Asylum: Living Hell #1,Jul-2003,N,Dan Slott,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ryan Sook,"pencils, inks",WFH,,"Sook signed a WFH agreement for the cover of this issue; however, Powell clearly did the artwork. We do have WFH for Powell for issues #2-6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Eric Powell,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lee Loughridge,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deathblow
(Michael Cray)","Point Blank
Sleeper","Darker Image #1
""Deathblow/Cybernary""",Mar-1993,N,Jim Lee,"writer, pencils, inks",WildStorm Employment Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brandon Choi,writer,WildStorm WFH Acknowledgment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sam Kieth,cover,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Chiodo,color,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wendy Fouts,color,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deathstorm
(Black Lantern Firestorn)",,Brightest Day #10,Nov-2010,,Geoff Johns,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Peter Tomasi,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ivan Reis,"pencils, inks",Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Patrick Gleason,pencils,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Prado,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deathstroke
(Slade Wilson)",,New Teen Titans #2,Dec-1980,Y,Marv Wolfman,writer,Exclusive,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"pencils, cover",None,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Romeo Tanghal,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Adrienne Roy,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Decreator,Doom Patrol 105,Doom Patrol #32,May-1990,N,Grant Morrison,writer,Writer Agreement,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard Case,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Nyberg,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Simon Bisley,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Daniel Vozzo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deimos
(Pre-Crisis)",,Wonder Woman #183,Jul-1969,N,Mike Sekowsky,"writer, pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,"inks, cover inks",N/A,,"Giordano was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deimos
(Post-Crisis)",,Wonder Woman #2,Mar-1987,N,Greg Potter,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,George Perez,"plot, pencils, cover",Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bruce Patterson,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tatjana Wood,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demolition Team,"Arrow 414
(2/17/2016)",Green Lantern #176,May-1984,N,Len Wein,writer,WFH,2005,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dave Gibbons,"pencils, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,inks,WFH,,"Giordano was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Demon
(Jason Blood / Etrigan)",Dark Universe,The Demon #1,Aug-1972,Y,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Michael Royer,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demon's Three
(Abnegazar, Rath, Ghast)",Dark Universe,Justice League of America #10,Mar-1962,N,Gardner Fox,writer,Creator Recognition,2009,Deceased Creator recognition agreement with is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Barclay,Swamp Thing 109,"The Saga of the Swamp Thing #5
""The Screams of Hungry Flesh""",Sep-1982,Y,Martin Pasko,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Thomas Yeates,"pencils, inks, cover",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tatjana Wood,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derek ""Dexter"" Tolliver","Suicide Squad
(2016)",The Fury of Firestorm #64,Oct-1987,N,John Ostrander,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Brozowski,"pencils, cover pencils",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sam De La Rosa,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bob Lewis,cover inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nansi Hoolihan,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desaad,,Forever People #2,Apr-1971,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Vince Colletta,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Royer,cover inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Despero,Krypton,Justice League of America #1,Nov-1960,Y,Gardner F. Fox,writer,Creator Recognition,,Deceased Creator recognition agreement with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Sekowsky,"pencils, cover pencils",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bernard Sachs,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detective Chimp
(Bobo)",Dark Universe,"Adventures of Rex the Wonder Dog #4
""Meet Detective Chimp""",Jul-1952,N,John Broome,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,pencils,Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sy Barry ,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gil Kane,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Giacoia,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detective Frank Curtis,"Flash
(2018)",Flash #270,Feb-1979,,Cary Bates,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Irv Novick,pencils,N/A,,"Novick was employed by DC from 5/9/67 - 12/28/84.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank McLaughlin,inks,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rich F. Buckler,cover pencils,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detonator,,Robin #168,Jan-2008,,Peter Milligan,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Freddie E. Williams II,"pencils, inks",Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dex-Starr,Lego Aquaman,Final Crisis: Rage of the Red Lanterns #1,Dec-2008,N,Geoff Johns,writer,Exclusive; WFH,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Shannon ""Shane"" Davis","pencils, cover pencils",WFH,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sandra Hope Archer,"inks, cover inks",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nei Ruffino,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Myles,Flash 501,"The Flash #138
""Mystery of the Matinee Idol""",Aug-1963,N,John Broome,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Giella,inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Murphy Anderson,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dial H For Hero,"#4Hero
(Machinima)","House of Mystery #156
""Dial H For Hero""",Jan-1966,Y,Dave Wood,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Mooney,"pencils, inks, cover",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dial ""H"" For Hero",,"Legion of Super-Heroes #272
""Who Are the Heroes?""",Feb-1981,Y,Marv Wolfman,writer,Exclusive,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,pencils,Artist; Settlement,2005,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Chiaramonte,inks,Exclusive,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dennis Jensen,inks,None,,Freelance agreements with Jensen between 4/27/81 - 4/27/84 have been located.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Janes,cover pencils,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dick Giordano,cover inks,Exclusive,,"Giordano was an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-E-R-O,,H-E-R-O #1,Apr-2003,Y,Will Pfeifer,writer,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jose Angel Cano Lopez,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,John Van Fleet,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dave Stewart,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dial H,,Dial H #1,Jul-2012,Y,China Mieville,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mateus Santolouco,"pencils, inks",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Brian Bolland,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Richard & Tanya Horie,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamanda M'Batu,"Point Blank
Sleeper",Sleeper #4,Jun-2003,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony Avina,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dick Malverne
(Dick Wilson; Tempus)
*This applies to the Supergirl villain only. For other versions of Tempus, see TEMPUS",Supergirl 219,"as Dick Wilson:
Action Comics #256
""The Great Supergirl Mirage""",Sep-1959,N,Otto Binder,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jim Mooney,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"as Dick Malverne:
Action Comics #282
""The Supergirl of Tomorrow!""",Nov-1961,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"James ""Jim"" Mooney","pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Curt Swan,cover pencils,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Stan Kaye,cover inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"as Tempus:
Supergirl #8",Apr-1997,N,Peter David,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gary Frank,"pencils, cover pencils",WFH; Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cam Smith,"inks, cover inks",WFH; Continuity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gene D'Angelo,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel Max,"Point Blank
Sleeper",Sleeper #5,Jul-2003,N,Ed Brubaker,writer,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tony Avina,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitronix World Industries,Flash 518,Hacker Files #1,Aug-1992,Y,Lewis Shiner,writer,"Writer-Creator, WFH",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Sutton,pencils,WFH,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mark Buckingham,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tom Canty,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lovern Kindzierski,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ding Dong Daddy
(aka Dowd)",,Teen Titans #3,May-1966,N,Bob Haney,writer,Contributor Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Nick Cardy,"pencils, inks",None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Discord
(Sean Sonus)",,Green Arrow and Black Canary #15,Feb-2009,N,Andrew Kreisberg,writer,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike Norton,pencils,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Josef Rubinstein,inks,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jose Ladronn,cover,WFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,David Baron,color,Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMZ,,DMZ #1,Jan-2006,Y,Brian Wood,"writer, cover",Joint Creator/All Rights; Writer,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Riccardo Burchielli,"pencils, inks",Joint Creator/All Rights; Artist,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jeremy Cox,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc,Krypton,Omega Men #3,Jun-1983,Y,Roger Slifer,writer,WFH; Writer,1982,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Keith Giffen,"pencils, cover pencils",WFH; Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mike DeCarlo,"inks, cover inks",WFH; Exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anthony Tollin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Doctor
(Jeroen Thornedike)",,The Authority #1,May-1999,N,Warren Ellis,writer,None,,"WFH agreements located for issues 4, 6-12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bryan Hitch,"pencils, cover pencils",None,,WFH agreements located for issues 2-12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Paul Neary,"inks, cover inks",None,,WFH agreements located for issues 2-12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Laura Depuy Martin,color,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doctor Alchemy
(Albert Desmond; Mister Element)",Flash 302,"Showcase #13
""Master of the Elements""",Mar-1958,N,John Broome,writer,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Carmine Infantino,"pencils, cover pencils",Settlement,,"Infantino may have been an employee of DC at this time.
Deceased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Frank Giacoia,inks,None,,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Joe Giella,cover inks,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
