Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Character,,,,,Stan Kaye,inks,None,,Deceased,,D741DA8D-13E4-AF4E-899A-9B332E801564
,Character,,,,,"James Winslow ""Win"" Mortimer",cover,None,,Deceased,,9371EBC0-FCEC-B241-8FF5-F56044B57F41
"Acid Master
(Philip Master)",Character,Flash 516,"Action Comics #348
""Clark Kent, Fighting Federal Agent!""",Mar-67,Y,Jim Shooter,writer,None,,,,0806626A-EE5F-7B45-8C92-90D51444EBC2
,Character,,,,,Wayne Boring,"pencils, inks",None,,Deceased,,220771BB-2705-954F-AB20-56E99039F824
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,3334CB50-FF4C-1E46-8F96-01543A3D5652
,Character,,,,,George Klein,cover inks,None,,Deceased,,8B868912-D520-8248-BBE8-2E7EDE0A5CC2
"Acrata
(Andrea Rojas)",Character,Supergirl Season 5,Superman Annual #12,Aug-00,Y,Oscar Pinto,writer,WFH,,,,FDD4753C-18E2-F648-8FFC-33230CF76B9D
,Character,,,,,Francisco Haghenbeck,writer,WFH,,,,572D1418-6B40-7E44-97C6-0342C1B546C7
,Character,,,,,Brian K. Vaughan,writer,WFH,,,,C8CFB7DA-EDF8-F547-9194-C229B9704F62
,Character,,,,,Carlo Barberi,pencils,WFH,,,,F9279965-716F-FC4A-A1CA-C83B39A54076
,Character,,,,,Marlo Alquiza,inks,WFH,,,,46C4140E-D783-0B49-A61A-8DBCAF837C02
,Character,,,,,Juan Vlasco Hernandez,inks,WFH,,,,AC6D4EAF-4B1E-564A-B5D0-96519400C4B8
,Character,,,,,Humberto Ramos,cover pencils,WFH,,,,9A74517A-D2A8-BD42-A8F1-6179B1BB3B0F
,Character,,,,,Wayne Faucher,cover inks,WFH,,,,22E4D771-9DF7-9F4F-904D-D3F5A58E8C96
,Character,,,,,Rob Schwager,color,N/A,,,,A6A19ACC-C9C1-4142-B367-FEEDBF83053E
"Adam Fells 
(Geomancer)",Character,"Flash 213
(2/9/2016)",JSA #5,Dec-99,N,David S. Goyer,Writer,WFH,,,,AECCBCAC-21B9-1746-9115-2EDFE6EECD9C
,Character,,,,,James Robinson,Writer,WFH; Exclusive,,,,4980B863-95C5-5843-A57E-AD0B0CF58D30
,Character,,,,,Derec Aucoin,Pencils,WFH,,,,2D43FDE8-B640-A948-B53A-BA60AB54B697
,Character,,,,,"Michael Bair
(Michael Hernandez)",Inks,WFH,,,,D547F68D-1C10-784B-AF25-F0602EE124DC
,Character,,,,,John Kalisz,Color,N/A,,,,E3572109-1D5D-7544-AF7B-0C37239750A6
,Character,,,,,Alan Davis,Cover Pencils,WFH,,,,020D2418-3D6F-1443-B8EB-584E50492FB4
,Character,,,,,Mark Farmer,Cover Inks,WFH,,,,5EBBF5EF-FD39-B546-93F5-F36B4C32721A
Adam Grant,Character,Supergirl 111,Adventures of Superman #429,Jun-87,Y,Marv Wolfman,writer,WFH,,Character equity agreement sent. (5/31/16),,72717E9A-9719-B94D-9A21-6A03464A9375
,Character,,,,,Jerry Ordway,"pencils, inks, cover",WFH,2016,,,C6DF7E30-8B5E-BA4A-B771-2BAC30DB3E90
,Character,,,,,Thomas Ziuko,color,N/A,,,,DFC735F9-8D01-7C42-B1E9-7FF72EF315B2
Adam Strange,Character,,"Showcase #17
""Secret of the Eternal City""",Nov-58,Y,Gardner F. Fox,writer,Creator Recognition,2009,Deceased Creator recognition agreement with is with heirs.,,4D18C66C-DB8C-B34B-81BE-6194E2ED216E
,Character,,,,,Mike Sekowsky,pencils,None,,Deceased,,A11496F3-0B60-BC42-A99D-F71DB0658732
,Character,,,,,Frank Giacoia,inks,None,,Deceased,,1A7EDB21-9787-874D-84CA-4BCD57AF51BC
,Character,,,,,Gil Kane,cover,None,,Deceased,,02BA90D5-3710-FF41-86E1-564F2AAB15EF
Aella,Character,"Wonder Woman
(2017)",Wonder Woman #1,Feb-87,N,Greg Potter,writer,WFH,,,,5289F703-A9A1-9D44-A383-5B459E181DE1
,Character,,,,,George Perez,"plot, pencils, cover",Continuity,,,,8342CA4E-B481-744F-A709-5F0B466A59BE
,Character,,,,,Bruce Patterson,inks,WFH,,,,69FCE2F4-3079-A242-804C-49F518B6242A
,Character,,,,,Tatjana Wood,color,N/A,,,,5FBEBB5B-B726-0045-8EF5-B23D9E87C839
Agent Goyer,Character,"Point Blank
Sleeper",Sleeper: Season 2 #2,Sep-04,N,Ed Brubaker,writer,WFH,,,,1F2F2DAD-64B8-3F44-8305-5E2D1E7E6763
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,2388DC37-3CA9-2145-84CA-61A37DDBBF48
,Character,,,,,Carrie Strachan,color,N/A,,,,BDB6FFD0-E3BA-9041-9B66-28199E985AC3
Agent Lee Caruthers,Character,"Point Blank
Sleeper",Sleeper #8,Oct-03,N,Ed Brubaker,writer,WFH,,,,DE8F3B72-B0AA-4D44-BD25-0EF38E33DDCC
,Character,,,,,Sean Phillips,"pencils, inks, cover",WFH,,,,C2FC8CB1-C8EF-5B48-83EC-B3FC595984B7
,Character,,,,,Tony Avina,color,N/A,,,,E0F98ED8-FD0A-3A42-97DE-630BFD8FFC56
"Agent Liberty
(Ben Lockwood)",Character,Supergirl 402,Superman #60,Oct-91,N,Dan Jurgens,"writer, pencils, cover pencils",Continuity; WFH,,,,DF54C367-AF5C-C546-A74D-9DE8B2178DE6
,Character,,,,,Eduardo Barreto,"pencils, inks",WFH,,,,592508DF-7D87-0945-AC7B-E5A976B09785
,Character,,,,,Brett Breeding,cover inks,WFH,,,,3890DD0D-1A3B-8945-9036-2D1D62181354
,Character,,,,,Glenn Whitmore,color,Exclusive,,,,3E2557C4-1F60-0C47-8A74-2A245D2A28F9
